waveform,freq,tx,rx,coil
square,0.037,channel2.bin,channel1.bin,coil1
square,0.107,channel2.bin,channel1.bin,coil1
square,1.07,channel2.bin,channel1.bin,coil1
square,10.7,channel2.bin,channel1.bin,coil1
square,100.7,channel2.bin,channel1.bin,coil1
square,1000.7,channel2.bin,channel1.bin,coil1
square,0.037,channel2.bin,channel1.bin,coil2
square,0.107,channel2.bin,channel1.bin,coil2
square,1.07,channel2.bin,channel1.bin,coil2
square,10.7,channel2.bin,channel1.bin,coil2
square,100.7,channel2.bin,channel1.bin,coil2
square,1000.7,channel2.bin,channel1.bin,coil2
square,0.037,channel2.bin,channel1.bin,coil3
square,0.107,channel2.bin,channel1.bin,coil3
square,1.07,channel2.bin,channel1.bin,coil3
square,10.7,channel2.bin,channel1.bin,coil3
square,100.7,channel2.bin,channel1.bin,coil3
square,1000.7,channel2.bin,channel1.bin,coil3